#,API Well Number,Well Name,Well Name Suffix,Bottom Lease Number,Bottom Area,Bottom Block,Region,Company Name,Spud Date,BH Total MD (feet),True Vertical Depth (feet),TVD Subsea (feet),RKB,KOP,Total Depth Date,Status Date,Type Code,Status Code,Casing Cut Code,Water Depth (feet),Underwater Comp Stub,Surface Lease Number,Surface Latitude*,Surface Longitude*,Bottom Latitude*,Bottom Longitude*
,012032016500,001,ST00BP00,S00538,MO,827,Gulf of America,Exxon Mobil Corporation,9/24/1984,21678,21675,21576,99,,3/10/1985,3/9/1993,E,COM,N,45,N,S00538,30.18845026,-87.95863042,30.18879986,-87.95851462
,012032027100,001,ST00BP00,S00539,MO,828,Gulf of America,Exxon Mobil Corporation,11/27/1991,22646,21845,21746,99,,4/27/1992,3/7/1993,E,COM,N,46,N,S00538,30.18153323,-87.94146513,30.18052303,-87.92814473
,012032029300,002,ST00BP00,S00538,MO,827,Gulf of America,Exxon Mobil Corporation,3/28/2002,22160,21753,21643,110,,7/31/2002,9/10/2002,E,COM,N,45,N,S00538,30.18845,-87.95388,30.1838432,-87.9581927
,012032030900,003,ST00BP00,S00538,MO,827,Gulf of America,Exxon Mobil Corporation,1/2/2009,21711,21710,21599,111,,5/8/2009,5/8/2009,E,COM,N,45,N,S00538,30.19592,-87.97733,30.19592019,-87.97732964
,043110009100,002,ST00BP00,P00166,LA,6660,Pacific,"Pacific Operators Offshore, LLC",3/12/1967,5000,4996,4971,25,,3/19/1967,3/22/1967,E,PA,Y,150,N,P00166,34.33824,-119.536556,34.3384105,-119.5370366
,043110009200,003,ST00BP00,P00166,LA,6660,Pacific,"Pacific Operators Offshore, LLC",3/3/1967,5000,4987,4962,25,,3/10/1967,3/12/1967,E,PA,Y,165,N,P00166,34.333244,-119.554764,34.3332196,-119.5557567
,043110009300,005,ST00BP00,P00166,LA,6660,Pacific,"Pacific Operators Offshore, LLC",3/22/1967,4940,4930,4905,25,,3/31/1967,4/2/1967,E,PA,Y,145,N,P00166,34.336859,-119.531861,34.3371591,-119.5326612
,043110009400,006,ST00BP00,P00166,LA,6660,Pacific,"Pacific Operators Offshore, LLC",4/3/1967,5939,5931,5906,25,,4/15/1967,5/2/1967,E,PA,Y,156,N,P00166,34.336698,-119.547695,34.3360669,-119.5482045
,043110016500,001,ST00BP00,P00166,LA,6660,Pacific,"Pacific Operators Offshore, LLC",2/18/1967,6121,6079,6054,25,,3/1/1967,3/3/1967,E,PA,Y,155,N,P00166,34.338997,-119.554974,34.3377049,-119.5541572
,043110016600,004,ST00BP00,P00166,LA,6660,Pacific,"Pacific Operators Offshore, LLC",5/10/1967,14229,14177,14122,55,,9/1/1967,9/5/1967,E,PA,Y,115,N,P00166,34.336346,-119.552523,34.3339478,-119.5510032
,043112000100,001,ST00BP00,P00167,SM,6984,Pacific,Atlantic Refining Company,3/1/1968,9782,9766,9727,39,,5/14/1968,5/16/1968,E,PA,Y,186,N,P00167,34.070213,-120.211379,34.0706171,-120.2117872
,043112000200,001,ST00BP00,P00173,SM,6931,Pacific,Chevron U.S.A. Inc.,3/2/1968,8900,8872,8845,27,,6/4/1968,6/10/1968,E,PA,Y,335,N,P00173,34.13477518,-120.34603313,34.13339058,-120.34658543
,043112000300,001,ST01BP00,P00186,SM,6638,Pacific,Exxon Mobil Corporation,5/2/1968,9301,9046,8977,69,3590,5/18/1968,5/30/1968,E,PA,Y,561,N,P00186,34.38887509,-120.022503,34.39261239,-120.0233335
,043112000370,001,ST00BP00,P00186,SM,6638,Pacific,Exxon Mobil Corporation,3/2/1968,11950,11859,11790,69,,4/9/1968,5/2/1968,E,ST,N,561,N,P00186,34.38887509,-120.022503,34.38681149,-120.0216563
,043112000400,001,ST00BP00,P00235,LA,6708,Pacific,Exxon Mobil Corporation,5/1/1968,15290,15198,15165,33,,8/9/1968,8/13/1968,E,PA,Y,310,N,P00235,34.2871722,-119.62214996,34.2862943,-119.62180556
,043112000500,001,ST00BP00,P00227,LA,6809,Pacific,ExxonMobil Oil Corporation,2/18/1968,11620,11343,11310,33,,4/24/1968,4/27/1968,E,PA,Y,325,N,P00227,34.22442944,-119.5601576,34.22174074,-119.5588551
,043112000600,001,ST00BP00,P00240,LA,6659,Pacific,"DCOR, L.L.C.",5/17/1968,5000,4993,4953,40,,5/29/1968,6/8/1968,E,PA,Y,176,N,P00240,34.33316285,-119.56796574,34.33272335,-119.56816114
,043112000700,001,ST00BP00,P00234,LA,6759,Pacific,"DCOR, L.L.C.",3/14/1968,15247,15242,15211,31,,5/29/1968,3/12/1978,E,PA,Y,293,N,P00234,34.276483,-119.578283,34.2764379,-119.5789843
,043112000800,001,ST00BP01,P00241,LA,6658,Pacific,"DCOR, L.L.C.",4/5/1968,13292,12979,12922,57,4790,7/22/1968,8/2/1968,E,PA,Y,185,N,P00241,34.33228042,-119.61061191,34.33735712,-119.61159541
,043112000870,001,ST00BP00,P00241,LA,6658,Pacific,"DCOR, L.L.C.",3/5/1968,6500,6480,6423,57,,4/3/1968,4/5/1968,E,ST,N,185,N,P00241,34.33228042,-119.61061191,34.33105732,-119.61076401
,043112000900,002,ST00BP00,P00241,LA,6658,Pacific,"DCOR, L.L.C.",3/1/1968,3775,3770,3745,25,,3/12/1968,3/23/1968,E,TA,N,190,N,P00241,34.33287541,-119.62708434,34.33330611,-119.62709784
,043112001000,003,ST00BP00,P00241,LA,6658,Pacific,"DCOR, L.L.C.",4/11/1968,3560,3559,3540,19,,4/18/1968,4/20/1968,E,PA,Y,198,N,P00241,34.33337339,-119.64421936,34.33358519,-119.64422606
,043112001100,001,ST00BP01,P00218,LA,6860,Pacific,"Pauley Petroleum, Inc.",5/19/1968,11661,11573,11548,25,10170,5/28/1968,5/31/1968,E,PA,Y,456,N,P00218,34.18268021,-119.52780285,34.18152271,-119.53023055
,043112001170,001,ST00BP00,P00218,LA,6860,Pacific,"Pauley Petroleum, Inc.",3/24/1968,10759,10660,10635,25,,5/6/1968,5/19/1968,E,ST,N,456,N,P00218,34.18268021,-119.52780285,34.18152711,-119.53034405
,043112001200,001,ST00BP01,P00229,LA,6807,Pacific,Chevron U.S.A. Inc.,6/26/1968,12125,11333,11300,33,9764,8/6/1968,8/13/1968,E,PA,Y,351,N,P00229,34.21934468,-119.67813719,34.21291538,-119.67658849
,043112001270,001,ST00BP00,P00229,LA,6807,Pacific,Chevron U.S.A. Inc.,4/28/1968,10567,10302,10269,33,,6/21/1968,6/26/1968,E,ST,N,351,N,P00229,34.21934468,-119.67813719,34.21614868,-119.67592809
,043112001300,A001,ST00BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",5/3/1968,5651,5363,5283,80,,5/18/1968,8/12/2005,D,ST,N,154,N,P00166,34.337693,-119.542534,34.338978,-119.5387195
,043112001301,A001,ST01BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",8/12/2005,5431,4754,4673,81,1101,8/25/2005,9/1/2005,D,COM,N,154,N,P00166,34.337693,-119.542534,34.3398236,-119.5388313
,043112001400,A002,ST00BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",4/29/1968,6031,5001,4921,80,,5/15/1968,5/25/1968,D,COM,N,154,N,P00166,34.337585,-119.542483,34.3381924,-119.5340712
,043112001500,001,ST00BP00,P00197,SM,6629,Pacific,Exxon Mobil Corporation,6/2/1968,11975,11942,11874,68,,7/18/1968,10/2/1979,E,PA,Y,640,N,P00197,34.38059063,-120.463952,34.37925403,-120.4638485
,043112001600,A004,ST00BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",5/27/1968,5600,4946,4866,80,,6/6/1968,6/10/1968,D,COM,N,154,N,P00166,34.337588,-119.542483,34.3385176,-119.5358341
,043112001700,001,ST00BP00,P00208,LA,6863,Pacific,"Venoco, LLC",6/16/1968,12854,12773,12746,27,,8/5/1968,8/30/1968,E,PA,N,168,N,P00208,34.16239485,-119.37110813,34.16154735,-119.37459803
,043112001800,A003,ST00BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",6/6/1968,7172,7002,6922,80,,7/3/1968,7/26/2017,D,TA,N,154,S,P00166,34.337724,-119.542518,34.3391317,-119.5392429
,043112001900,A006,ST00BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",6/11/1968,5220,4782,4702,80,,6/18/1968,6/29/2005,D,ST,N,154,N,P00166,34.33762584,-119.542494,34.33881884,-119.5372203
,043112001901,A006,ST01BP00,P00166,LA,6660,Pacific,"DCOR, L.L.C.",6/29/2005,4463,4117,4036,81,2469,7/6/2005,7/9/2005,D,ST,N,154,N,P00166,34.33762584,-119.542494,34.33815464,-119.5388954
